original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
-1000.0,85.0,18443831455.0,3.087412856160524,580.0,2.3638494617299117,129.0,371.42519677366255,-705.2286296296296,-981.0,-1000.0,1129.0,281.6490682018436,826.5015842112487,1.081277085601703,8618810093.832016,0.3033878820301783,185757.4486544184,445.14913838135647,3177524.03708043,42276.48530534656,1166.4413576730874,29.534087610604917,0.9506275449002656,2.296258920145098,2.4062747704063323,24.03765346068357,0.7152436119906891,0.6884103457304431,0.9880340474619932,0.9602590425097184,-0.3960679375424734,0.9536744026083462,0.157746133339445,12.683864906170042,0.242061666646928,4.953185545066552,0.9642338627974332,0.4823450427595738,25.367729812340084,3.7968194528844297,298.993861320923,5.976923814217388,2830.968444444444,0.104850683127572,101.7716282249657,8191.472814814815,293.8564057270233,448.8266296296296,346.094,91489.68225925928,296.53007405408005,0.5523314676959197,0.1274770812694501,61.94519356935606,0.0044819796516523,820.0168232500855,0.068688965947329,289.4344521790363,600.8770533435655,17.832862935526915,3311.955154491206,15.545363397982738,0.2257730549624194,5.958889593262887,6480.638862354995,0.5492092266643348,0.4372763532763532,12.505597416796402,0.7635654702287487,454.7914769123849,0.0852272268190357,106.00447015514068,0.0278739074822878,144.31473623139186,477.8885090717855,57335.12858269787,5256511.1435708655,54487.97454494962,0.0205049247396612,1863.2592689981595,0.4899445882193424,0.7275666796187643,348.11397076482115,0.0118234924343882,6.761608692807375,0.1408518518518518,57284.7234366436,3.4606685281236715,0.0003780399611241,1281.658117685105,0.3396153245394606,1.687048393806901
-1000.0,89.0,18451116308.0,3.029016464140524,576.0,2.3748326366288226,122.0,371.469076872428,-705.0779259259259,-984.0,-1000.0,1122.0,284.09117959539327,826.6647918437521,1.0828049470797796,8622214308.662415,0.3147951550068587,186239.79644606865,446.3810083395449,3199184.678731773,42438.15473996414,1168.555605406062,28.71969839632764,0.9520397507289003,2.273408528364861,2.36554478895807,23.322896588422847,0.7241282074713585,0.6967992217701062,0.9878291183270282,0.9598362926208092,-0.4004714471662687,0.9525838717520864,0.1330540567325588,12.703539267212026,0.2556862776054475,4.844399972158485,0.9640407988727064,0.4942663902354746,25.407078534424063,3.717158855804812,299.31882595059744,5.80421414085137,3325.191185185185,0.1231552290809327,103.87640335253772,8499.469185185186,294.1171719821673,449.558037037037,364.2014814814815,111948.06151851852,304.8727182189129,0.5587893702672546,0.1278391911208929,62.3650867704931,0.004369162165621,770.432445626917,0.0673638972451615,277.10826337798346,574.935885510821,19.775102204356884,4190.903560518847,17.04508016918861,0.2269473183850872,6.011014671197236,6145.724719506176,0.5455247654653999,0.4179002849002848,13.92513190052408,0.7597223941991658,426.5871287425215,0.081257358421285,106.72526616463256,0.0277136500037996,144.40565411082423,480.88184887042325,58855.484809140486,6091267.298104389,55695.11497875293,0.0203920360868976,1842.2079979226176,0.4783713315820871,0.7188947836839852,348.4917286502745,0.0112210126768436,6.797261928639925,0.1426296296296296,58806.32836142949,3.759607828304056,0.0003578896645646,1188.6478966356606,0.3426033467046761,1.6583220384227415
-1000.0,88.0,18478764356.0,2.998187688453071,611.25,2.309298936234152,143.0,379.0821954183813,-702.0274814814815,-982.0,-1000.0,1143.0,290.1453088669725,827.2839173172968,1.0648856074161035,8635134252.967834,0.3164266748971193,191556.09509662003,456.2157676309867,3290541.0663833567,43439.16211528506,1200.1934111681678,33.30699433295028,0.9460212765037398,2.392907829752309,2.422860983954847,27.3568717566294,0.712520160090471,0.6874043271716104,0.9867932076516588,0.9592153577687998,-0.3766753307794592,0.94463767994811,0.1754677821754136,12.823869381355545,0.2456121187523832,4.872390620110881,0.9594239444194468,0.4871181978144134,25.64773876271109,3.7273072031566055,308.3751013752795,6.071956725654178,2240.3123703703704,0.0829745322359396,97.14946468587104,8543.520222222221,303.1773143703704,461.5008148148148,334.3528148148148,70765.1785925926,296.0444875590406,0.5643290199156656,0.129205853474727,66.93858248499704,0.0049338051657528,952.287849787944,0.0783261278769449,314.4173517457617,662.7491665732946,16.52175212853749,2611.6806255723577,14.670241583189558,0.2391176249656512,5.863922765308038,6421.231866513541,0.5329601595141145,0.4460997150997151,11.414739932393829,0.754140097811466,507.0720221741736,0.0907313066958115,104.28178243774576,0.0273346742956083,158.37983980596698,502.9273918741808,59596.57404980341,5225793.493053735,56855.1716318097,0.024457050524711,1985.6967234600263,0.5204971752188797,0.7496204380463992,383.02709396906175,0.0143252323016983,6.694367152708768,0.1412962962962963,59546.48550163269,4.1722543737802775,0.0003008970403922,1456.5174067054038,0.3862159430533182,1.5470279560049365
-1000.0,231.0,19041092091.0,2.819364849515511,732.0,2.277762843139912,377.0,442.57855782716047,-668.2087777777778,-1000.0,-1000.0,1377.0,333.0588989353641,839.7771329346853,1.0653805621159746,8897910236.92131,0.38551251303155,258722.6623007284,589.1729102267977,5747090.782689511,66581.70581569152,1594.9230947223043,58.91538408621239,0.9287884426732766,3.030497141593538,2.530776587001444,49.427831174619946,0.7113413801621344,0.6847223468798759,0.9848837964482164,0.9587912864003864,-0.328629542483489,0.917541083726534,0.1432741985683299,14.321904850267035,0.3086948830333891,4.739236848297353,0.9390566480473757,0.5535710648593505,28.64380970053405,3.5677048282498087,413.4596197021291,5.82546969263496,2270.475555555556,0.0840916872427983,101.29457018381342,10408.837851851851,407.06333678875166,604.5605555555555,347.5008888888889,27824.479740740742,335.860208966394,0.6228787980815989,0.1379333699156887,114.7928712463678,0.005732188469529,958.8799957460697,0.0808546273407283,459.3576656106917,1136.6247895838535,17.92813238549116,2085.73264042406,16.767077506673697,0.2418609991327147,5.902945111166515,6376.6440152388695,0.543866907313155,0.4349629629629629,12.582216914206988,0.7608967025968216,982.2123612533333,0.0708051680386436,102.24809741248096,0.0259381271974837,267.05094185321866,768.4155251141552,70787.91476407915,2842978.224505327,69668.68549097609,0.0333676882388782,2403.8016235413497,0.6097923956218543,0.8088638924104827,613.9285722774424,0.0239011327518169,6.631726278112589,0.146,70741.00164717167,6.980543031282526,0.0001277357662129,3333.29810680788,0.4915040413769481,1.956487870813182
-1000.0,85.0,18374329180.0,3.106309354644881,597.25,2.3341038022640137,132.0,373.4671144691358,-702.6623703703704,-980.0,-1000.0,1132.0,283.11704919246574,824.9428527906466,1.068617045011974,8586331651.878357,0.2977769163237312,186796.30363586283,449.76094205283096,3176230.768085663,42141.4571955747,1174.2992541421731,29.57745838200142,0.9508841908738888,2.301221841288265,2.4137561821933406,24.058067244161244,0.7136252742217384,0.6867229374614987,0.988016064342188,0.9601658783992776,-0.3964842936814368,0.9543410560582988,0.1603793340232202,12.788199535099368,0.2376977253095258,4.975454410563715,0.9641134270906244,0.4775147230799369,25.576399070198736,3.8137005052735446,300.96917813104386,5.985935920606535,2803.067259259259,0.103817305898491,101.31776862002744,8039.976740740741,295.68911051303155,453.1395555555556,343.323037037037,90783.82948148149,293.7806312068492,0.5471223607631784,0.1267682463313246,62.88429747617832,0.0043834548061556,816.9391607815066,0.0680218682333356,291.3355563527914,606.3604315320189,17.49859320389941,3286.538522247947,15.213850942617524,0.2219558696595488,5.952737495453448,6493.817556749004,0.546698780827549,0.4401339031339031,12.241696835006223,0.7622470025305017,459.1614579925259,0.0822969884978578,104.8179888564606,0.0278105568735634,146.11293482791464,487.8967895993632,56625.95330326346,5478408.07959671,53631.61976523905,0.0199275867031507,1851.042451578668,0.4911229640696917,0.7282497894420881,356.90482107723403,0.0115374383189879,6.767497899758991,0.1395925925925926,56574.634649693166,3.2710554836763017,0.0003958659354849,1281.5608331008068,0.3429020972232596,1.68030349799575
-1000.0,89.0,18381310442.0,3.0396529379033894,591.0,2.344854568843161,124.0,373.5245340850479,-702.5071851851852,-983.0,-1000.0,1124.0,285.1711479275411,825.0995549808699,1.0700706273284666,8589593998.508453,0.3116775939643347,187272.93039281757,450.91789431132776,3197235.794072629,42294.19886403765,1176.418266434562,28.76730690906264,0.9522795961559288,2.27664350574187,2.367677367878718,23.355488063782538,0.7237832097262042,0.6964134535496593,0.9878077726035877,0.9597817210228292,-0.4020237967980991,0.953344357436129,0.1331779580294169,12.804780349695273,0.2536687588909045,4.8503174118355314,0.9641492611864412,0.4918015442719202,25.609560699390546,3.7233514947129,301.29639333590603,5.809162754031139,3317.627851851852,0.1228751056241426,103.92465900685872,8415.295037037036,295.97227109876553,453.8124074074074,363.88414814814814,113892.2795925926,303.4769092019671,0.5556683377755586,0.1285677289287763,62.207030415133,0.0044287421788778,761.9546735962119,0.0665722754934503,277.7150784421799,577.0023958948436,19.65186100670394,4286.229463851681,16.869116522982104,0.2246240825780653,6.01069971793298,6141.266291587173,0.5445721298422794,0.4183361823361823,13.814246062370303,0.7590478653627458,426.7100552127897,0.0793938183547384,108.47444501806918,0.0280006311352785,146.28028862978348,481.82059886422303,57904.43882292204,6241910.318791946,54647.401593362425,0.0206174067734736,1868.7145069695405,0.482373388479489,0.7216283417022814,345.8506966993492,0.0119483019149769,6.780246906725473,0.1434814814814815,57855.86432777029,3.598637693615766,0.0003700874542207,1185.4465534141034,0.3454320908996521,1.6546693680211813
-1000.0,88.0,18350655032.0,3.0247778955605025,652.0,2.255788144517573,148.0,382.8466173058984,-697.1445925925926,-981.0,-1000.0,1148.0,292.51160194027017,824.411238444791,1.0409858650895776,8575268712.692261,0.3088920768175582,193643.3070929821,465.162508315189,3287771.0536531056,43142.01534166072,1214.9586362023017,33.573758861445526,0.9462513854024638,2.412957582460637,2.439207083837597,27.525328048842532,0.7091310307636817,0.6839056781391264,0.9866953671498772,0.9588646348675024,-0.3752067933727375,0.9451251666204228,0.1796938608187341,13.02970409982362,0.2376267025576662,4.914864067760787,0.9593171527153002,0.4782332899832593,26.05940819964724,3.760100321452576,312.13309876593684,6.142502193700768,2097.704962962963,0.0776927764060356,96.68665612620026,8340.086074074074,306.6926152866941,469.8544444444444,329.7328888888889,73602.29392592593,289.85679431114954,0.5571232920214841,0.1304552875970251,67.45712319115555,0.0052335329291639,965.2842304457783,0.0785301364531779,315.32550444378114,662.4267287378151,15.778655844201996,2672.9985810914927,13.893975620879411,0.2385538554132281,5.853528507241391,6479.83641560305,0.5316459888615024,0.4513133903133903,10.793561343381915,0.7534329773018535,504.93796690441934,0.0909134274671619,107.62591050988554,0.0279984158454436,161.50792158489085,499.6123829344433,57612.03173777316,5455288.255463059,54764.91349874368,0.0267716596683117,1995.129552549428,0.5190243372917346,0.7486893235213554,381.141406205083,0.0160122212686316,6.699170793691652,0.1423703703703703,57562.69609732752,4.0769637446354485,0.0003029434583615,1470.016524981378,0.3949125286034698,1.5289310344363114
-1000.0,232.0,18988167633.0,2.8381347832746915,757.0,2.2507427186482323,359.0,444.97100354458166,-665.5375185185185,-1000.0,-1000.0,1359.0,335.5187913580745,838.6092462457643,1.0533844402557728,8873178615.732193,0.3819932702331962,260325.27933310156,595.0531223618044,5751454.158780033,66431.80239316536,1605.7977102013926,59.0282651279319,0.9291270648833786,3.0392630242091063,2.542227193978046,49.486121664286856,0.7091671042735397,0.682356476700432,0.984405412015972,0.9580721444953124,-0.3289061839050499,0.9187290610765312,0.1455862000520237,14.432803475926002,0.3050882118154699,4.770645797328487,0.939477448382048,0.5502673862007987,28.865606951851984,3.588298823850673,416.2064938323313,5.852470387400169,2242.42037037037,0.0830526063100137,101.42036608504802,10313.818296296296,409.6666175253772,610.079925925926,344.91674074074075,27312.104148148148,333.48691127509363,0.6203701309086259,0.1383163341411563,114.37190183956169,0.0055758244148384,958.589975851627,0.0802160296003209,460.6795483329855,1142.3293631875522,17.691201677976792,2074.051072174752,16.536709175887072,0.241190315197931,5.899563320247566,6453.3853453530455,0.5462803705754689,0.4382934472934472,12.427108569974273,0.7625405722005845,988.8981081395448,0.0713268655813303,99.58205912334353,0.0253776909080895,262.8990661378631,762.7816004077472,70452.25331294598,2845200.5575942914,69331.15074160679,0.0323046815588914,2410.652905198777,0.6143356027519818,0.8115214176847919,605.6677765139237,0.0224384732462076,6.63427575700404,0.1453333333333333,70404.90881332473,6.948770990217646,0.0001307766103144,3210.998894943002,0.5147663021029478,1.8630560636556015
-1000.0,85.0,18377884178.0,3.105865030010129,595.25,2.3326058478814606,136.0,373.7658598079561,-702.5518518518519,-981.0,-1000.0,1136.0,284.1048738664949,825.0226523938376,1.067993552224332,8587992903.91922,0.2998543237311386,187083.27242249652,450.5255438121361,3183699.8674996686,42211.63930811412,1176.372417305453,29.68935397876233,0.95078874623291,2.304525081890288,2.4131414279454564,24.15354612297311,0.7139558728683432,0.6870810690154403,0.9879809482503124,0.9601253406577752,-0.3977491027956233,0.9546882312770404,0.1594917592118215,12.798901368243284,0.2409320399244813,4.971982474309163,0.9642907651941454,0.4819830398529812,25.597802736486567,3.812360143965352,301.5154428210536,5.963203677726594,2864.571111111111,0.1060952263374485,101.01766583813443,8096.066740740741,296.13266543209875,453.74674074074073,343.6825185185185,85440.37881481482,297.1740144119982,0.5493770260046791,0.1266401258474576,62.67893964122044,0.0044577716651967,804.0049467480735,0.067049118164998,294.0212568174135,618.6960236535552,17.766670047231667,3069.5031053769785,15.604196480671902,0.2186682168741051,5.961842558877053,6468.614077680277,0.5455502972237242,0.4393190883190883,12.485065640772984,0.7616399527518405,465.0499181950253,0.0806238609432667,103.27212330587297,0.0274440933579253,146.11709563635858,490.637257507308,57187.92240233856,5178306.346532023,54403.66613993219,0.0204594485205715,1858.349986712729,0.4938479900910787,0.7304199523756256,358.6061122631918,0.0122449124452473,6.773728715857515,0.1393703703703703,57136.43996593543,3.309648337370368,0.0003909537595606,1287.8283080819804,0.3448744409082623,1.6740503407731095
-1000.0,89.0,18385031804.0,3.049804337269725,592.0,2.343299344565421,130.0,373.8132178655693,-702.3976296296296,-984.0,-1000.0,1130.0,283.95388820826656,825.1830729310024,1.0694363033591083,8591332992.515564,0.3114541646090534,187564.67374252947,451.85397564335614,3206396.204753769,42379.03650513222,1178.6267155648393,28.85711272736448,0.9522231160600498,2.284110368517683,2.378211265033656,23.409656887661264,0.7217718663427651,0.6943352558689821,0.9882373299441114,0.9603550273041978,-0.4010909952751074,0.9534607309920694,0.1362609524722822,12.820625048843302,0.2536072674647847,4.872058459805062,0.9641464208185851,0.493165088086159,25.641250097686605,3.738392516793768,301.8709570730511,5.808465451743809,3305.575333333333,0.1224287160493827,103.22304785185185,8409.262444444445,296.4221230603566,454.5452962962962,360.354962962963,105022.65914814814,304.6335317291268,0.5562114913334898,0.1277055810410184,63.18046988681605,0.0043567736473922,762.8463996572907,0.0661010561380112,282.6095073967592,594.025107561319,19.50610379289822,3846.563476304392,16.9604366059056,0.221254564316208,6.011936277805204,6178.406174508826,0.5433580649174752,0.4217179487179487,13.755722904785422,0.758757263058774,438.23557064098014,0.0783746304872454,106.18890904379371,0.027517208873748,146.44631917217174,488.3176988857217,58095.24332728686,5880825.26483545,55060.04479518924,0.0202938711704019,1839.3296190722983,0.4766337442529926,0.7170295470510493,353.9747411752369,0.0113447417209254,6.798979135623803,0.1429259259259259,58046.29047841573,3.543947305881757,0.0003640545146304,1260.508398934778,0.3333860564875735,1.7329806220576902
